"PackageId","Version","Published","StaleDays","LastChecked"
"010editor","16.0.0","2025-09-21","339","2026-08-26"
"010editor.install","16.0.0","2025-09-21","339","2026-08-26"
"010editor.portable","16.0.0","2025-09-21","339","2026-08-26"
"0ad","","2026-08-18","8","2026-08-26"
"0install","2.29.3","2026-08-07","19","2026-08-26"
"0install.install","2.15.1","2018-07-25","2954","2026-08-26"
"0install.portable","2.15.1","2018-07-25","2954","2026-08-26"
"0patch","22.11.11.10550","2023-02-22","1281","2026-08-26"
"1c-barcode-printing","8.0.14.2","2018-04-04","3066","2026-08-26"
"1c-barcode-scanner","8.0.8.4","2018-03-04","3097","2026-08-26"
"1c-its","8.3.0","2018-10-18","2869","2026-08-26"
"1cfresh-client","8.5.1.989","2025-10-23","307","2026-08-26"
"1clipboard","0.1.8.20231119","2023-11-18","1012","2026-08-26"
"1password","8.12.34","2026-08-25","1","2026-08-26"
"1password-chrome","2.24.2","2024-06-13","804","2026-08-26"
"1password-cli","2.39.0","2026-08-15","11","2026-08-26"
"1password4","4.6.2.62601","2024-09-26","699","2026-08-26"
"1password7","7.9.836","2025-01-22","581","2026-08-26"
"1password8","8.12.34","2026-08-25","1","2026-08-26"
"1remote","1.0.0.20260714","2026-07-14","43","2026-08-26"
"2fast","1.5.1","2026-03-25","154","2026-08-26"
"2gis","3.16.3","2018-05-10","3030","2026-08-26"
"360ts","11.0.0.1314","2026-04-13","135","2026-08-26"
"360tse","8.8.0.1119","2019-12-19","2442","2026-08-26"
"3cx","18.13.959","2024-02-13","925","2026-08-26"
"3dduke-shareware","1.3.0","2019-06-07","2637","2026-08-26"
"3dmark","2.6.6238","2019-01-03","2792","2026-08-26"
"3dslicer","5.12.0.34621","2026-07-01","56","2026-08-26"
"3dsmax","2027.29.0.3590","2026-04-15","133","2026-08-26"
"3proxy","0.9.3","2020-12-04","2091","2026-08-26"
"3rvx","2.9.2.10","2018-03-06","3095","2026-08-26"
"3va","2.1.2","2026-06-30","57","2026-08-26"
